pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	drug_a_split	drug_b_split	split	unseen_drug_count
0	DB00316|DB01033	DB01033	DB00316	training	training	training	0
1	DB00787|DB01033	DB01033	DB00787	training	training	training	0
2	DB01001|DB01033	DB01033	DB01001	training	test	test	1
3	DB00437|DB01033	DB01033	DB00437	training	training	training	0
4	DB00404|DB01033	DB01033	DB00404	training	training	training	0
5	DB00321|DB01033	DB01033	DB00321	training	validation	validation	1
6	DB00126|DB01033	DB01033	DB00126	training	training	training	0
7	DB00023|DB01033	DB01033	DB00023	training	validation	validation	1
8	DB00945|DB01033	DB01033	DB00945	training	test	test	1
9	DB00335|DB01033	DB01033	DB00335	training	training	training	0
10	DB00993|DB01033	DB01033	DB00993	training	training	training	0
11	DB00443|DB01033	DB01033	DB00443	training	training	training	0
12	DB00921|DB01033	DB01033	DB00921	training	training	training	0
13	DB00490|DB01033	DB01033	DB00490	training	training	training	0
14	DB01008|DB01033	DB01033	DB01008	training	validation	validation	1
15	DB01033|DB01373	DB01033	DB01373	training	training	training	0
16	DB01033|DB06724	DB01033	DB06724	training	test	test	1
17	DB00564|DB01033	DB01033	DB00564	training	training	training	0
18	DB00395|DB01033	DB01033	DB00395	training	training	training	0
19	DB00262|DB01033	DB01033	DB00262	training	training	training	0
20	DB01033|DB01212	DB01033	DB01212	training	training	training	0
21	DB00475|DB01033	DB01033	DB00475	training	validation	validation	1
22	DB00878|DB01033	DB01033	DB00878	training	training	training	0
23	DB00537|DB01033	DB01033	DB00537	training	training	training	0
24	DB00215|DB01033	DB01033	DB00215	training	validation	validation	1
25	DB01033|DB01068	DB01033	DB01068	training	training	training	0
26	DB00575|DB01033	DB01033	DB00575	training	training	training	0
27	DB00091|DB01033	DB01033	DB00091	training	test	test	1
28	DB00987|DB01033	DB01033	DB00987	training	training	training	0
29	DB00250|DB01033	DB01033	DB00250	training	test	test	1
30	DB00694|DB01033	DB01033	DB00694	training	training	training	0
31	DB01033|DB01234	DB01033	DB01234	training	training	training	0
32	DB00829|DB01033	DB01033	DB00829	training	training	training	0
33	DB00586|DB01033	DB01033	DB00586	training	training	training	0
34	DB00804|DB01033	DB01033	DB00804	training	training	training	0
35	DB00390|DB01033	DB01033	DB00390	training	training	training	0
36	DB00327|DB01033	DB01033	DB00327	training	validation	validation	1
37	DB00985|DB01033	DB01033	DB00985	training	test	test	1
